"Time (s) Run #1";"Position (m) Run #1";"Velocity (m/s) Run #1";"Acceleration (m/s²) Run #1"
2,760;0,08;-0,13;-4,65
2,770;0,08;-0,18;-4,60
2,780;0,08;-0,22;-4,56
2,790;0,08;-0,27;-4,47
2,800;0,07;-0,31;-4,34
2,810;0,07;-0,36;-4,11
2,820;0,07;-0,40;-3,78
2,830;0,06;-0,43;-3,42
2,840;0,06;-0,46;-3,27
2,850;0,05;-0,50;-3,23
2,860;0,05;-0,53;-3,06
2,870;0,04;-0,56;-2,68
2,880;0,04;-0,58;-2,24
2,890;0,03;-0,60;-1,94
2,900;0,03;-0,62;-1,79
2,910;0,02;-0,64;-1,62
2,920;0,01;-0,66;-1,20
2,930;0,01;-0,67;-0,70
2,940;0,00;-0,67;-0,44
2,950;-0,01;-0,67;-0,40
2,960;-0,01;-0,68;-0,23
2,970;-0,02;-0,68;0,26
2,980;-0,03;-0,67;0,60
2,990;-0,03;-0,66;0,89
3,000;-0,04;-0,66;1,23
3,010;-0,05;-0,64;1,47
3,020;-0,05;-0,62;1,74
3,030;-0,06;-0,61;2,24
3,040;-0,07;-0,58;3,23
3,050;-0,07;-0,54;3,81
3,060;-0,08;-0,50;3,49
3,070;-0,08;-0,47;2,97
3,080;-0,09;-0,45;3,12
3,090;-0,09;-0,41;3,81
3,100;-0,09;-0,36;4,17
3,110;-0,10;-0,32;4,16
3,120;-0,10;-0,29;5,14
3,130;-0,10;-0,24;6,68
3,140;-0,11;-0,14;6,29
3,150;-0,11;-0,07;4,20
3,160;-0,11;-0,08;2,51
3,170;-0,11;-0,05;3,71
3,180;-0,11;-0,01;5,76
3,190;-0,11;0,08;6,25
3,200;-0,11;0,14;4,81
3,210;-0,10;0,18;1,52
3,220;-0,10;0,18;-0,33
3,230;-0,10;0,13;1,04
3,240;-0,10;0,17;4,56
3,250;-0,10;0,26;6,69
3,260;-0,10;0,33;6,38
3,270;-0,09;0,37;5,70
3,280;-0,09;0,43;5,27
3,290;-0,08;0,49;4,08
3,300;-0,08;0,52;2,65
3,310;-0,07;0,53;2,08
3,320;-0,07;0,56;2,28
3,330;-0,06;0,58;2,41
3,340;-0,06;0,61;1,98
3,350;-0,05;0,62;1,54
3,360;-0,04;0,63;1,25
3,370;-0,04;0,65;1,11
3,380;-0,03;0,66;0,93
3,390;-0,02;0,67;0,56
3,400;-0,02;0,67;0,08
3,410;-0,01;0,67;-0,31
3,420;0,00;0,66;-0,55
3,430;0,00;0,66;-0,73
3,440;0,01;0,65;-1,01
3,450;0,02;0,64;-1,39
3,460;0,02;0,62;-1,77
3,470;0,03;0,60;-2,11
3,480;0,03;0,58;-2,40
3,490;0,04;0,55;-2,69
3,500;0,05;0,52;-2,93
3,510;0,05;0,49;-3,13
3,520;0,05;0,46;-3,27
3,530;0,06;0,43;-3,41
3,540;0,06;0,39;-3,59
3,550;0,07;0,36;-3,83
3,560;0,07;0,32;-4,09
3,570;0,07;0,27;-4,19
3,580;0,08;0,23;-4,19
3,590;0,08;0,19;-4,27
3,600;0,08;0,15;-4,51
3,610;0,08;0,10;-4,73
3,620;0,08;0,05;-4,74
3,630;0,08;0,01;-4,64
3,640;0,08;-0,04;-4,59
3,650;0,08;-0,09;-4,55
3,660;0,08;-0,13;-4,45
3,670;0,08;-0,18;-4,40
3,680;0,08;-0,22;-4,41
3,690;0,07;-0,27;-4,38
3,700;0,07;-0,31;-4,16
3,710;0,07;-0,35;-3,81
3,720;0,06;-0,38;-3,56
3,730;0,06;-0,42;-3,41
3,740;0,06;-0,45;-3,37
3,750;0,05;-0,48;-3,24
3,760;0,05;-0,52;-2,97
3,770;0,04;-0,55;-2,53
3,780;0,04;-0,57;-2,18
