"Time (s) Run #1";"Position (m) Run #1";"Velocity (m/s) Run #1";"Acceleration (m/s²) Run #1"
4,640;-0,01;0,01;-0,14
4,650;-0,01;0,01;-0,21
4,660;-0,01;0,01;2,95E-5
4,670;-0,01;0,01;0,02
4,680;-0,01;0,01;-0,19
4,690;-0,01;0,00;-0,21
4,700;-0,01;0,00;0,05
4,710;-0,01;0,01;0,03
4,720;-0,01;0,01;-0,37
4,730;-0,01;0,00;-0,51
4,740;-0,01;-0,01;-0,12
4,750;-0,01;0,00;0,26
4,760;-0,01;0,00;0,04
4,770;-0,01;9,55E-4;-0,47
4,780;-0,01;-0,01;-0,61
4,790;-0,01;-0,02;-0,22
4,800;-0,01;-0,01;0,20
4,810;-0,01;-0,01;0,13
4,820;-0,01;-0,01;-0,31
4,830;-0,01;-0,02;-0,59
4,840;-0,01;-0,03;-0,37
4,850;-0,01;-0,03;0,12
4,860;-0,01;-0,02;0,40
4,870;-0,01;-0,01;0,22
4,880;-0,01;-0,01;-0,18
4,890;-0,01;-0,02;-0,40
4,900;-0,01;-0,03;-0,22
4,910;-0,01;-0,03;0,17
4,920;-0,02;-0,02;0,43
4,930;-0,02;-0,01;0,40
4,940;-0,02;-0,01;0,20
4,950;-0,02;-0,01;0,09
4,960;-0,02;-0,01;0,17
4,970;-0,02;-0,01;0,42
4,980;-0,02;0,00;0,58
4,990;-0,02;0,01;0,53
5,000;-0,02;0,01;0,44
5,010;-0,02;0,01;0,34
5,020;-0,02;0,02;0,29
5,030;-0,02;0,02;0,27
5,040;-0,01;0,02;0,42
5,050;-0,02;0,03;0,54
5,060;-0,01;0,03;0,35
5,070;-0,01;0,03;0,10
5,080;-0,01;0,03;0,08
5,090;-0,01;0,03;0,33
5,100;-0,01;0,04;0,40
5,110;-0,01;0,05;0,16
5,120;-0,01;0,04;-0,09
5,130;-0,01;0,04;-0,15
5,140;-0,01;0,04;-0,05
5,150;-0,01;0,04;-0,04
5,160;-0,01;0,04;-0,13
5,170;-0,01;0,04;-0,27
5,180;-0,01;0,03;-0,43
5,190;-0,01;0,03;-0,39
5,200;-0,01;0,02;-0,24
5,210;-0,01;0,03;-0,18
5,220;-0,01;0,02;-0,28
5,230;-0,01;0,02;-0,34
5,240;-0,01;0,01;-0,27
5,250;-0,01;0,01;-0,46
5,260;-0,01;0,01;-0,72
5,270;-0,01;-0,01;-0,65
5,280;-0,01;-0,01;-0,26
5,290;-0,01;-0,01;-0,02
5,300;-0,01;-0,01;-0,30
5,310;-0,01;-0,01;-0,71
5,320;-0,01;-0,02;-0,80
5,330;-0,01;-0,03;-0,42
5,340;-0,01;-0,03;0,09
5,350;-0,01;-0,03;0,22
5,360;-0,01;-0,02;-0,12
5,370;-0,01;-0,03;-0,47
5,380;-0,01;-0,04;-0,54
5,390;-0,01;-0,04;-0,39
5,400;-0,01;-0,04;-0,29
5,410;-0,01;-0,05;-0,26
5,420;-0,01;-0,05;-0,03
5,430;-0,01;-0,05;0,36
5,440;-0,01;-0,04;0,63
5,450;-0,01;-0,03;0,51
5,460;-0,01;-0,03;0,16
5,470;-0,01;-0,03;0,00
5,480;-0,01;-0,03;0,04
5,490;-0,01;-0,03;0,18
5,500;-0,01;-0,03;0,36
5,510;-0,02;-0,02;0,62
5,520;-0,02;-0,02;0,70
5,530;-0,02;-0,01;0,36
5,540;-0,02;-0,01;0,04
5,550;-0,02;-0,01;0,11
5,560;-0,02;-0,01;0,52
5,570;-0,02;0,00;0,64
5,580;-0,02;0,01;0,35
5,590;-0,02;0,01;0,18
5,600;-0,02;0,01;0,33
5,610;-0,02;0,02;0,45
5,620;-0,01;0,02;0,21
5,630;-0,01;0,02;0,00
5,640;-0,01;0,02;0,04
5,650;-0,01;0,02;0,11
