"Time (s) Run #1";"Position (m) Run #1";"Velocity (m/s) Run #1";"Acceleration (m/s²) Run #1"
2,290;-0,01;-0,05;-0,62
2,300;-0,01;-0,06;-0,09
2,310;-0,01;-0,06;0,47
2,320;-0,01;-0,05;0,60
2,330;-0,01;-0,04;0,27
2,340;-0,01;-0,04;-0,09
2,350;-0,01;-0,05;-0,19
2,360;-0,01;-0,05;-0,20
2,370;-0,01;-0,05;-0,09
2,380;-0,01;-0,05;0,39
2,390;-0,01;-0,04;0,96
2,400;-0,01;-0,03;0,96
2,410;-0,01;-0,02;0,28
2,420;-0,02;-0,02;-0,26
2,430;-0,02;-0,03;0,00
2,440;-0,02;-0,03;0,66
2,450;-0,02;-0,01;0,80
2,460;-0,02;0,00;0,31
2,470;-0,02;-0,01;0,02
2,480;-0,02;-0,01;0,36
2,490;-0,02;-9,43E-4;0,69
2,500;-0,02;0,01;0,45
2,510;-0,02;0,01;0,14
2,520;-0,02;0,01;0,18
2,530;-0,02;0,01;0,34
2,540;-0,02;0,02;0,29
2,550;-0,02;0,02;0,19
2,560;-0,02;0,02;0,24
2,570;-0,02;0,02;0,25
2,580;-0,01;0,03;0,15
2,590;-0,02;0,03;0,06
2,600;-0,01;0,03;-0,04
2,610;-0,01;0,03;-0,13
2,620;-0,01;0,02;-0,28
2,630;-0,01;0,02;-0,39
2,640;-0,01;0,01;-0,30
2,650;-0,01;0,01;-0,11
2,660;-0,01;0,01;0,04
2,670;-0,01;0,01;0,10
2,680;-0,01;0,01;0,02
2,690;-0,01;0,02;-0,18
2,700;-0,01;0,01;-0,34
2,710;-0,01;0,01;-0,29
2,720;-0,01;0,01;-0,23
2,730;-0,01;0,01;-0,34
2,740;-0,01;0,00;-0,26
2,750;-0,01;-0,01;0,05
2,760;-0,01;0,00;0,08
2,770;-0,01;0,00;-0,28
2,780;-0,01;-0,01;-0,37
2,790;-0,01;-0,01;0,04
2,800;-0,01;0,00;0,18
2,810;-0,01;9,53E-4;-0,27
2,820;-0,01;-0,01;-0,56
2,830;-0,01;-0,02;-0,18
2,840;-0,01;-0,02;0,30
2,850;-0,01;-0,01;0,13
2,860;-0,01;-0,01;-0,30
2,870;-0,01;-0,02;-0,19
2,880;-0,01;-0,02;0,37
2,890;-0,01;-0,01;0,51
2,900;-0,01;7,12E-4;0,10
2,910;-0,01;-0,01;-0,02
2,920;-0,01;-0,01;0,27
2,930;-0,01;0,00;0,45
2,940;-0,01;0,01;0,24
2,950;-0,01;0,00;0,22
2,960;-0,01;0,00;0,43
2,970;-0,01;0,02;0,40
2,980;-0,01;0,02;0,20
2,990;-0,01;0,01;0,14
3,000;-0,01;0,02;0,24
3,010;-0,01;0,02;0,20
3,020;-0,01;0,02;0,09
3,030;-0,01;0,02;0,18
3,040;-0,01;0,03;0,33
3,050;-0,01;0,03;0,35
3,060;-0,01;0,03;0,21
3,070;-0,01;0,03;0,01
3,080;-0,01;0,03;-0,10
3,090;-0,01;0,03;-0,10
3,100;-0,01;0,03;-0,05
3,110;-0,01;0,03;0,00
3,120;-0,01;0,03;-0,04
3,130;-0,01;0,03;-0,13
3,140;-0,01;0,03;-0,27
3,150;-0,01;0,03;-0,42
3,160;-0,01;0,02;-0,53
3,170;-0,01;0,01;-0,49
3,180;-0,01;0,01;-0,38
3,190;-0,01;0,01;-0,38
3,200;-0,01;0,00;-0,39
3,210;-0,01;0,00;-0,29
3,220;-0,01;0,00;-0,22
3,230;-0,01;0,00;-0,42
3,240;-0,01;-0,01;-0,59
3,250;-0,01;-0,02;-0,45
3,260;-0,01;-0,02;-0,18
3,270;-0,01;-0,02;-0,26
3,280;-0,01;-0,02;-0,61
3,290;-0,01;-0,03;-0,83
3,300;-0,01;-0,04;-0,66
3,310;-0,01;-0,05;-0,18
3,320;-0,01;-0,05;0,23
3,330;-0,01;-0,04;0,31
3,340;-0,01;-0,04;0,03
3,350;-0,01;-0,04;-0,31
3,360;-0,01;-0,05;-0,57
3,370;-0,01;-0,05;-0,68
3,380;-0,01;-0,06;-0,60
3,390;-0,01;-0,07;-0,28
3,400;-0,01;-0,07;0,25
3,410;-0,02;-0,06;0,75
3,420;-0,02;-0,05;0,98
3,430;-0,02;-0,04;0,76
3,440;-0,02;-0,03;0,19
3,450;-0,02;-0,03;-0,38
3,460;-0,02;-0,04;-0,48
3,470;-0,02;-0,05;0,12
3,480;-0,02;-0,04;1,03
3,490;-0,02;-0,02;1,38
3,500;-0,02;-0,01;0,82
3,510;-0,02;-0,01;0,09
3,520;-0,02;-0,01;0,15
3,530;-0,02;-0,01;0,66
3,540;-0,02;0,01;0,78
3,550;-0,02;0,01;0,53
3,560;-0,02;0,01;0,42
3,570;-0,02;0,02;0,53
3,580;-0,02;0,03;0,49
3,590;-0,02;0,03;0,38
3,600;-0,02;0,03;0,43
3,610;-0,02;0,04;0,43
3,620;-0,02;0,04;0,42
3,630;-0,02;0,04;0,53
3,640;-0,02;0,05;0,50
3,650;-0,02;0,06;0,27
3,660;-0,02;0,05;-0,14
3,670;-0,01;0,05;-0,25
3,680;-0,01;0,05;-0,05
3,690;-0,01;0,05;1,55E-5
3,700;-0,01;0,05;0,01
3,710;-0,01;0,05;-0,14
3,720;-0,01;0,05;-0,20
3,730;-0,01;0,05;-0,14
3,740;-0,01;0,05;-0,23
3,750;-0,01;0,05;-0,33
3,760;-0,01;0,04;-0,43
3,770;-0,01;0,03;-0,39
3,780;-0,01;0,03;-0,24
3,790;-0,01;0,03;-0,19
3,800;-0,01;0,03;-0,18
3,810;-0,01;0,03;-0,31
3,820;-0,01;0,02;-0,57
3,830;-0,01;0,02;-0,59
3,840;-0,01;0,01;-0,43
3,850;-0,01;0,01;-0,37
3,860;-0,01;0,00;-0,48
3,870;-0,01;-0,01;-0,49
3,880;-0,01;-0,01;-0,28
3,890;-0,01;-0,01;-0,32
3,900;-0,01;-0,01;-0,53
3,910;-0,01;-0,02;-0,55
3,920;-0,01;-0,03;-0,30
3,930;-0,01;-0,03;-0,09
3,940;-0,01;-0,03;-0,18
3,950;-0,01;-0,03;-0,37
3,960;-0,01;-0,03;-0,53
3,970;-0,01;-0,04;-0,46
3,980;-0,01;-0,05;-0,08
3,990;-0,01;-0,04;0,37
4,000;-0,01;-0,03;0,50
4,010;-0,01;-0,03;0,22
4,020;-0,01;-0,03;-0,14
4,030;-0,01;-0,03;-0,21
4,040;-0,01;-0,04;0,06
4,050;-0,01;-0,04;0,46
4,060;-0,01;-0,03;0,69
4,070;-0,01;-0,02;0,46
4,080;-0,01;-0,01;0,06
4,090;-0,01;-0,02;-0,07
4,100;-0,01;-0,02;0,22
4,110;-0,01;-0,02;0,49
4,120;-0,01;-0,01;0,31
4,130;-0,01;-0,01;0,03
4,140;-0,01;-0,01;0,21
4,150;-0,01;-0,01;0,63
4,160;-0,01;0,01;0,60
4,170;-0,01;0,01;0,20
4,180;-0,01;0,01;0,04
4,190;-0,01;0,01;0,15
4,200;-0,01;0,01;0,10
4,210;-0,01;0,01;0,04
4,220;-0,01;0,01;0,18
4,230;-0,01;0,02;0,30
4,240;-0,01;0,02;0,12
4,250;-0,01;0,02;-0,18
4,260;-0,01;0,01;-0,33
4,270;-0,01;0,01;-0,39
4,280;-0,01;0,01;-0,25
4,290;-0,01;0,00;-0,04
4,300;-0,01;0,01;-0,08
4,310;-0,01;0,01;-0,29
4,320;-0,01;0,00;-0,26
4,330;-0,01;0,00;1,11E-5
4,340;-0,01;0,00;0,02
4,350;-0,01;4,77E-4;-0,19
4,360;-0,01;-0,01;-0,20
4,370;-0,01;-0,01;-0,04
4,380;-0,01;0,00;-0,17
4,390;-0,01;0,00;-0,44
4,400;-0,01;-0,02;-0,37
4,410;-0,01;-0,02;0,04
4,420;-0,01;-0,01;0,18
4,430;-0,01;-0,01;-0,27
4,440;-0,01;-0,02;-0,56
4,450;-0,01;-0,03;-0,19
4,460;-0,01;-0,02;0,48
4,470;-0,01;-0,01;0,54
4,480;-0,01;0,00;-0,20
4,490;-0,01;-0,02;-0,74
4,500;-0,01;-0,03;-0,45
4,510;-0,02;-0,03;0,36
4,520;-0,02;-0,02;0,66
4,530;-0,02;-0,01;0,21
4,540;-0,02;-0,01;-0,12
4,550;-0,02;-0,02;0,16
4,560;-0,02;-0,01;0,59
4,570;-0,02;-2,87E-7;0,46
4,580;-0,02;4,72E-4;0,09
4,590;-0,02;-0,01;0,16
4,600;-0,02;-9,43E-4;0,52
4,610;-0,02;0,01;0,59
4,620;-0,02;0,01;0,43
4,630;-0,02;0,01;0,38
4,640;-0,02;0,02;0,39
4,650;-0,02;0,03;0,29
4,660;-0,01;0,03;0,23
4,670;-0,02;0,03;0,34
4,680;-0,01;0,03;0,29
4,690;-0,01;0,04;0,19
4,700;-0,01;0,03;0,23
4,710;-0,01;0,04;0,29
