"Time (s) Run #1";"Position (m) Run #1";"Velocity (m/s) Run #1"
4,280;0,36;-0,56
4,290;0,35;-0,56
4,300;0,35;-0,54
4,310;0,34;-0,53
4,320;0,34;-0,52
4,330;0,33;-0,50
4,340;0,33;-0,48
4,350;0,32;-0,45
4,360;0,32;-0,42
4,370;0,32;-0,39
4,380;0,31;-0,36
4,390;0,31;-0,32
4,400;0,31;-0,29
4,410;0,30;-0,25
4,420;0,30;-0,21
4,430;0,30;-0,17
4,440;0,30;-0,12
4,450;0,30;-0,08
4,460;0,30;-0,04
4,470;0,30;0,01
4,480;0,30;0,05
4,490;0,30;0,09
4,500;0,30;0,13
4,510;0,30;0,17
4,520;0,30;0,21
4,530;0,30;0,26
4,540;0,31;0,30
4,550;0,31;0,33
4,560;0,31;0,36
4,570;0,32;0,39
4,580;0,32;0,42
4,590;0,32;0,44
4,600;0,33;0,47
4,610;0,33;0,50
4,620;0,34;0,52
4,630;0,34;0,53
4,640;0,35;0,54
4,650;0,36;0,55
4,660;0,36;0,56
4,670;0,37;0,56
4,680;0,37;0,56
4,690;0,38;0,55
4,700;0,38;0,55
4,710;0,39;0,53
4,720;0,39;0,51
4,730;0,40;0,49
4,740;0,40;0,47
4,750;0,41;0,46
4,760;0,41;0,43
4,770;0,42;0,40
4,780;0,42;0,38
4,790;0,42;0,34
4,800;0,43;0,31
4,810;0,43;0,27
4,820;0,43;0,23
4,830;0,44;0,19
4,840;0,44;0,15
4,850;0,44;0,11
4,860;0,44;0,07
4,870;0,44;0,03
4,880;0,44;-0,01
4,890;0,44;-0,06
4,900;0,44;-0,10
4,910;0,44;-0,14
4,920;0,44;-0,18
4,930;0,43;-0,22
4,940;0,43;-0,26
4,950;0,43;-0,29
4,960;0,43;-0,33
4,970;0,42;-0,37
4,980;0,42;-0,40
4,990;0,41;-0,42
5,000;0,41;-0,44
5,010;0,41;-0,46
5,020;0,40;-0,47
5,030;0,40;-0,48
5,040;0,39;-0,51
5,050;0,39;-0,53
5,060;0,38;-0,55
5,070;0,37;-0,56
5,080;0,37;-0,55
5,090;0,36;-0,55
5,100;0,36;-0,54
5,110;0,35;-0,54
5,120;0,35;-0,52
5,130;0,34;-0,51
5,140;0,34;-0,49
5,150;0,33;-0,47
5,160;0,33;-0,44
5,170;0,32;-0,42
5,180;0,32;-0,39
5,190;0,32;-0,36
5,200;0,31;-0,33
5,210;0,31;-0,29
5,220;0,31;-0,26
5,230;0,30;-0,22
5,240;0,30;-0,18
5,250;0,30;-0,14
5,260;0,30;-0,10
5,270;0,30;-0,06
5,280;0,30;-0,02
5,290;0,30;0,03
5,300;0,30;0,07
5,310;0,30;0,11
5,320;0,30;0,15
5,330;0,30;0,19
5,340;0,30;0,22
5,350;0,31;0,26
5,360;0,31;0,29
5,370;0,31;0,33
5,380;0,32;0,36
5,390;0,32;0,39
5,400;0,32;0,42
5,410;0,33;0,44
5,420;0,33;0,46
5,430;0,34;0,48
5,440;0,34;0,50
5,450;0,35;0,51
5,460;0,35;0,52
5,470;0,36;0,53
5,480;0,36;0,53
5,490;0,37;0,53
5,500;0,37;0,53
5,510;0,38;0,52
5,520;0,38;0,51
5,530;0,39;0,50
5,540;0,39;0,48
5,550;0,40;0,46
5,560;0,40;0,45
5,570;0,41;0,43
5,580;0,41;0,41
5,590;0,42;0,38
5,600;0,42;0,35
5,610;0,42;0,32
5,620;0,43;0,29
5,630;0,43;0,25
5,640;0,43;0,22
5,650;0,43;0,19
5,660;0,44;0,17
5,670;0,44;0,14
5,680;0,44;0,10
5,690;0,44;0,04
5,700;0,44;-0,02
5,710;0,44;-0,06
5,720;0,44;-0,10
5,730;0,44;-0,14
5,740;0,44;-0,19
5,750;0,43;-0,23
5,760;0,43;-0,29
5,770;0,43;-0,35
5,780;0,42;-0,39
5,790;0,42;-0,39
5,800;0,42;-0,39
5,810;0,41;-0,41
5,820;0,41;-0,43
5,830;0,40;-0,45
5,840;0,40;-0,46
5,850;0,39;-0,48
5,860;0,39;-0,50
5,870;0,38;-0,52
5,880;0,38;-0,53
5,890;0,37;-0,53
5,900;0,37;-0,53
5,910;0,36;-0,52
5,920;0,36;-0,52
5,930;0,35;-0,51
5,940;0,35;-0,50
5,950;0,34;-0,49
5,960;0,34;-0,47
5,970;0,33;-0,45
5,980;0,33;-0,43
5,990;0,32;-0,40
6,000;0,32;-0,37
6,010;0,32;-0,34
6,020;0,31;-0,31
6,030;0,31;-0,28
6,040;0,31;-0,24
6,050;0,31;-0,20
6,060;0,30;-0,17
6,070;0,30;-0,13
6,080;0,30;-0,09
6,090;0,30;-0,05
6,100;0,30;-0,01
6,110;0,30;0,03
6,120;0,30;0,07
6,130;0,30;0,11
6,140;0,30;0,15
6,150;0,30;0,19
6,160;0,31;0,22
6,170;0,31;0,26
6,180;0,31;0,30
6,190;0,32;0,33
6,200;0,32;0,36
6,210;0,32;0,38
6,220;0,33;0,41
6,230;0,33;0,43
