"Time (s) Run #1";"Position (m) Run #1";"Velocity (m/s) Run #1"
2,450;0,21;0,39
2,460;0,21;0,38
2,470;0,22;0,38
2,480;0,22;0,37
2,490;0,22;0,36
2,500;0,23;0,35
2,510;0,23;0,34
2,520;0,24;0,33
2,530;0,24;0,32
2,540;0,24;0,31
2,550;0,24;0,29
2,560;0,25;0,28
2,570;0,25;0,27
2,580;0,25;0,26
2,590;0,26;0,24
2,600;0,26;0,22
2,610;0,26;0,20
2,620;0,26;0,18
2,630;0,26;0,16
2,640;0,26;0,15
2,650;0,27;0,13
2,660;0,27;0,11
2,670;0,27;0,10
2,680;0,27;0,08
2,690;0,27;0,06
2,700;0,27;0,04
2,710;0,27;0,02
2,720;0,27;0,00
2,730;0,27;-0,02
2,740;0,27;-0,03
2,750;0,27;-0,05
2,760;0,27;-0,07
2,770;0,27;-0,09
2,780;0,27;-0,12
2,790;0,27;-0,13
2,800;0,27;-0,15
2,810;0,26;-0,16
2,820;0,26;-0,18
2,830;0,26;-0,20
2,840;0,26;-0,21
2,850;0,26;-0,23
2,860;0,25;-0,25
2,870;0,25;-0,26
2,880;0,25;-0,27
2,890;0,25;-0,28
2,900;0,24;-0,29
2,910;0,24;-0,31
2,920;0,24;-0,32
2,930;0,23;-0,33
2,940;0,23;-0,34
2,950;0,23;-0,35
2,960;0,22;-0,36
2,970;0,22;-0,36
2,980;0,22;-0,37
2,990;0,21;-0,38
3,000;0,21;-0,38
3,010;0,20;-0,39
3,020;0,20;-0,39
3,030;0,20;-0,39
3,040;0,19;-0,39
3,050;0,19;-0,39
3,060;0,18;-0,37
3,070;0,18;-0,36
3,080;0,18;-0,33
3,090;0,17;-0,29
3,100;0,17;-0,27
3,110;0,17;-0,30
3,120;0,17;-0,34
3,130;0,16;-0,35
3,140;0,16;-0,29
3,150;0,16;-0,22
3,160;0,16;-0,20
3,170;0,15;-0,24
3,180;0,15;-0,30
3,190;0,15;-0,33
3,200;0,14;-0,37
3,210;0,14;-0,40
3,220;0,14;-0,39
3,230;0,13;-0,34
3,240;0,13;-0,28
3,250;0,13;-0,22
3,260;0,12;-0,17
3,270;0,12;-0,13
3,280;0,12;-0,08
3,290;0,12;-0,03
3,300;0,12;-0,03
3,310;0,12;-0,05
3,320;0,12;-0,06
3,330;0,12;-0,04
3,340;0,12;-0,02
3,350;0,12;-0,01
3,360;0,12;0,01
3,370;0,12;0,02
3,380;0,12;0,04
3,390;0,12;0,07
3,400;0,12;0,09
3,410;0,12;0,06
3,420;0,12;0,02
3,430;0,12;0,03
3,440;0,12;0,10
3,450;0,12;0,21
3,460;0,13;0,29
3,470;0,13;0,31
3,480;0,13;0,29
3,490;0,14;0,30
3,500;0,14;0,34
3,510;0,14;0,35
3,520;0,15;0,32
3,530;0,15;0,29
3,540;0,15;0,30
3,550;0,15;0,32
3,560;0,16;0,28
3,570;0,16;0,23
3,580;0,16;0,23
3,590;0,16;0,29
3,600;0,17;0,36
3,610;0,17;0,37
3,620;0,18;0,39
3,630;0,18;0,40
3,640;0,18;0,39
3,650;0,19;0,38
3,660;0,19;0,36
3,670;0,20;0,36
3,680;0,20;0,34
3,690;0,20;0,31
3,700;0,20;0,30
3,710;0,21;0,34
3,720;0,21;0,39
3,730;0,22;0,39
3,740;0,22;0,35
3,750;0,22;0,30
3,760;0,23;0,28
3,770;0,23;0,29
3,780;0,23;0,31
3,790;0,23;0,32
3,800;0,24;0,31
3,810;0,24;0,30
3,820;0,24;0,28
3,830;0,25;0,27
3,840;0,25;0,26
3,850;0,25;0,25
3,860;0,25;0,23
3,870;0,26;0,22
3,880;0,26;0,20
3,890;0,26;0,18
3,900;0,26;0,16
3,910;0,26;0,15
3,920;0,26;0,13
3,930;0,27;0,11
3,940;0,27;0,10
3,950;0,27;0,08
3,960;0,27;0,06
3,970;0,27;0,04
3,980;0,27;0,02
3,990;0,27;0,00
4,000;0,27;-0,02
4,010;0,27;-0,04
4,020;0,27;-0,06
4,030;0,27;-0,08
4,040;0,27;-0,09
4,050;0,27;-0,11
4,060;0,26;-0,13
4,070;0,26;-0,14
4,080;0,26;-0,16
4,090;0,26;-0,18
4,100;0,26;-0,20
4,110;0,26;-0,21
4,120;0,25;-0,23
4,130;0,25;-0,25
4,140;0,25;-0,26
4,150;0,25;-0,27
4,160;0,24;-0,28
4,170;0,24;-0,29
4,180;0,24;-0,30
4,190;0,23;-0,32
4,200;0,23;-0,32
4,210;0,23;-0,33
4,220;0,23;-0,34
4,230;0,22;-0,35
4,240;0,22;-0,35
4,250;0,21;-0,36
4,260;0,21;-0,36
4,270;0,21;-0,37
4,280;0,20;-0,37
4,290;0,20;-0,38
4,300;0,20;-0,38
4,310;0,19;-0,38
4,320;0,19;-0,37
4,330;0,18;-0,37
4,340;0,18;-0,37
4,350;0,18;-0,37
4,360;0,17;-0,36
4,370;0,17;-0,36
4,380;0,17;-0,35
4,390;0,16;-0,30
4,400;0,16;-0,24
4,410;0,16;-0,22
4,420;0,16;-0,26
4,430;0,15;-0,30
4,440;0,15;-0,29
4,450;0,15;-0,29
4,460;0,14;-0,22
4,470;0,14;-0,15
4,480;0,14;-0,13
4,490;0,14;-0,16
4,500;0,14;-0,21
4,510;0,14;-0,20
4,520;0,13;-0,19
4,530;0,13;-0,18
4,540;0,13;-0,11
4,550;0,13;-0,03
4,560;0,13;-0,01
4,570;0,13;-0,05
4,580;0,13;-0,10
4,590;0,13;-0,13
4,600;0,13;-0,14
4,610;0,12;-0,11
4,620;0,12;-0,05
4,630;0,12;-0,04
4,640;0,12;-0,06
4,650;0,12;-0,05
4,660;0,12;0,00
4,670;0,12;0,06
4,680;0,12;0,03
4,690;0,12;0,01
4,700;0,12;0,03
4,710;0,12;0,11
4,720;0,13;0,17
4,730;0,13;0,23
4,740;0,13;0,29
4,750;0,13;0,31
4,760;0,14;0,33
4,770;0,14;0,35
4,780;0,14;0,36
4,790;0,15;0,33
4,800;0,15;0,29
4,810;0,15;0,30
4,820;0,16;0,31
4,830;0,16;0,31
4,840;0,16;0,32
4,850;0,17;0,32
4,860;0,17;0,28
4,870;0,17;0,23
4,880;0,17;0,20
4,890;0,18;0,21
4,900;0,18;0,26
4,910;0,18;0,30
4,920;0,18;0,35
4,930;0,19;0,37
4,940;0,19;0,37
4,950;0,20;0,37
4,960;0,20;0,36
